run,Selection_Threshold,VIF_Threshold,PCA_n_Components,colinearity_threshold,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
2,0.016,30,70,0.85,0.9966,0.8938,0.8916,0.921,0.9259,0.9215
3,0.016,30,70,0.85,0.995,0.8961,0.896,0.9264,0.9286,0.9249
1,0.016,30,80,0.75,0.9962,0.9076,0.9068,0.9302,0.9317,0.9295
2,0.016,30,80,0.75,0.997,0.8923,0.8875,0.9191,0.9255,0.9204
3,0.016,30,80,0.75,0.9972,0.9107,0.908,0.9349,0.9369,0.934
1,0.016,30,80,0.8,0.9958,0.9025,0.9016,0.9258,0.9276,0.9249
2,0.016,30,80,0.8,0.9966,0.8904,0.8858,0.9174,0.9241,0.9181
3,0.016,30,80,0.8,0.9959,0.9069,0.9066,0.9319,0.9339,0.9306
1,0.016,30,80,0.85,0.9951,0.9001,0.8993,0.9248,0.9267,0.9238
2,0.016,30,80,0.85,0.997,0.8898,0.8865,0.9174,0.9225,0.9181
3,0.016,30,80,0.85,0.9954,0.9034,0.9027,0.9298,0.9321,0.9283
1,0.016,30,90,0.75,0.9965,0.9076,0.9068,0.9302,0.9317,0.9295
2,0.016,30,90,0.75,0.9968,0.8974,0.892,0.9217,0.9297,0.9226
3,0.016,30,90,0.75,0.997,0.9098,0.9054,0.9336,0.9359,0.9329
1,0.016,30,90,0.8,0.9954,0.904,0.9023,0.9278,0.9291,0.9272
2,0.016,30,90,0.8,0.9967,0.8934,0.8878,0.918,0.9265,0.9192
3,0.016,30,90,0.8,0.9957,0.9033,0.9016,0.9299,0.9325,0.9283
1,0.016,30,90,0.85,0.9954,0.9032,0.9014,0.9267,0.9281,0.9261
2,0.016,30,90,0.85,0.9968,0.8919,0.8863,0.917,0.9249,0.9181
3,0.016,30,90,0.85,0.9954,0.9032,0.9022,0.9298,0.9323,0.9283
